ID,Phase,Priority,Capability,Type,Title,Description,CurrentEvidence,FilesAffected,Dependencies,SecurityImpact,DataImpact,AcceptanceCriteria,TestsRequired,EstimatedComplexity,RecommendedOrder
STL-P2-005,Fase 2,P2,Evidence Intelligence,Functional,Fragmentos citables ligados a outcomes,"Extraer fragmentos citables y ligarlos a outcomes/indicadores, con la fuente.","-","lib/stella/; app/actions/","STL-P2-004",Medio,Medio,"Un fragmento citable queda ligado a un outcome con su fuente","Integracion",Media,27
STL-P2-006,Fase 2,P2,Evidence Intelligence,Functional,Deteccion de contradicciones y cobertura,"Detectar contradicciones entre evidencias y outcomes sin cobertura suficiente.","-","lib/stella/","STL-P2-005",Medio,Medio,"Se senalan outcomes sin evidencia suficiente y contradicciones detectadas","Integracion; eval",Alta,28
STL-P2-007,Fase 2,P2,Evidence Intelligence,UI,Mapa de evidencia,"UI que muestra el mapa evidencia<->outcome<->indicador con cobertura y huecos.","-","components/; app/app/projects/","STL-P2-006",Bajo,Bajo,"El usuario ve la cobertura de evidencia por outcome con huecos resaltados","Componente",Media,29
STL-P2-008,Fase 2,P2,Evidence Intelligence,Test,Pruebas y eval de Evidence Intelligence,"Cobertura de extraccion, recuperacion, contradicciones y casos de eval.","-","tests/; tests/eval/","STL-P2-006",Medio,Medio,"Tests verdes de extraccion/recuperacion; casos de eval con rubrica","Integracion; eval",Media,30
STL-P3-001,Fase 3,P2,Proxy Intelligence,Technical,Habilitar grounding de busqueda en el adaptador,"Extender gemini-client para habilitar la herramienta de busqueda de Gemini solo para el rol de busqueda de proxies.","gemini-client.ts:52-60 sin tools","lib/stella/adapter/gemini-client.ts; lib/stella/config.ts","STL-P0-004",Alto,Medio,"El adaptador puede ejecutar busqueda con grounding y devuelve las citas","Unitaria del adaptador (mock de grounding)",Alta,31
STL-P3-002,Fase 3,P2,Proxy Intelligence,Technical,Esquema de candidato con cita obligatoria,"Esquema Zod que exige URL de fuente y fragmento por cada valor de proxy propuesto.","-","lib/stella/schemas/","STL-P3-001",Alto,Alto,"Un candidato sin URL/fragmento se rechaza en validacion","Unitaria de esquema",Baja,32
STL-P3-003,Fase 3,P2,Proxy Intelligence,Functional,Accion de busqueda de proxies a estado suggested,"Server action que propone proxies nuevos con cita, creandolos como reviewStatus suggested para aprobacion humana.","financial_proxies.reviewStatus (flujo existente)","app/actions/stella/; lib/pipeline/proxies.ts","STL-P3-002",Alto,Alto,"Los proxies propuestos entran como suggested y no son usables en un calculo hasta aprobarse","Integracion",Alta,33
STL-P3-004,Fase 3,P2,Proxy Intelligence,Security,Verificacion de cita,"Verificar que el valor propuesto aparece realmente en la fuente citada (nunca de memoria del modelo).","-","lib/stella/; lib/pipeline/","STL-P3-003;STL-P2-001",Alto,Alto,"Un valor que no aparece en la fuente citada se rechaza; una prueba lo confirma","Integracion de verificacion",Alta,34
STL-P3-005,Fase 3,P2,Proxy Intelligence,Database,Campos de comparabilidad metodologica,"Migracion aditiva para pais/ano/moneda/unidad/poblacion y notas de transferibilidad del proxy sugerido.","db/schema.ts financial_proxies","db/migrations/; db/schema.ts","STL-P3-003",Bajo,Medio,"El proxy sugerido registra los campos de comparabilidad; drizzle-kit check sin drift","drizzle-kit check; unitaria",Media,35
STL-P3-006,Fase 3,P2,Proxy Intelligence,UI,Revision de candidatos de proxy,"UI que muestra el candidato con URL, fragmento y campos de comparabilidad para aprobacion humana.","app/app/projects/pipeline/proxies","components/; app/app/projects/","STL-P3-004",Medio,Bajo,"El revisor ve la cita y aprueba/rechaza; sin aprobacion no entra al calculo","Componente",Media,36
STL-P3-007,Fase 3,P2,Proxy Intelligence,Test,Pruebas y eval de Proxy Intelligence,"Cobertura de grounding, verificacion de cita, estado suggested y casos de eval.","-","tests/; tests/eval/","STL-P3-004",Alto,Alto,"Tests verdes; sin cita se rechaza; suggested no usable; eval con rubrica","Integracion; eval",Media,37
STL-P4-001,Fase 4,P2,Calculation Interpreter,Functional,Pasar sensibilidad al contexto del Validator,"Incluir el resultado de la sensibilidad determinista (ya existente) en el contexto del validator sin recalcular.","build-validator-context.ts; lib/pipeline/sroi-sensitivity.ts","lib/stella/context/build-validator-context.ts","STL-P1-002",Bajo,Medio,"El validator recibe la sensibilidad ya calculada","Unitaria de contexto",Media,38
STL-P4-002,Fase 4,P2,Calculation Interpreter,Functional,Modo de explicacion de escenarios,"Stella explica que supuesto mueve mas el ratio, leyendo la sensibilidad, sin tocar numeros.","-","lib/stella/prompts/; app/actions/stella/","STL-P4-001",Bajo,Bajo,"El validator identifica el supuesto de mayor impacto sin recalcular","Unitaria; eval",Media,39
STL-P4-003,Fase 4,P2,Versioning,Database,Versionado de secciones de reporte,"Migracion aditiva para conservar historico de borradores por seccion con su origen.","sroi_report_sections (sin version)","db/migrations/; db/schema.ts; lib/reports/","STL-P1-004",Bajo,Medio,"Una seccion conserva su historico de borradores; drizzle-kit check sin drift","Integracion",Media,40
STL-P4-004,Fase 4,P2,Versioning,Database,Registro de version de prompt,"Registrar la version del prompt usada en cada stella_interactions.","0012 (sin prompt_version)","db/migrations/; db/schema.ts; app/actions/stella/*","STL-P0-007",Bajo,Medio,"Cada interaccion registra la version de prompt","Unitaria",Baja,41
STL-P4-005,Fase 4,P2,Methodology Reviewer,Technical,Reglas SROI deterministas explicitas,"Codificar red flags SROI (doble conteo, contrafactual ausente, drop-off sin evidencia) como chequeos deterministas que complementen al Validator IA.","validator-system.ts (reglas genericas); sroi-calculation.ts (readiness)","lib/pipeline/; lib/stella/","STL-P0-004",Bajo,Bajo,"Las red flags deterministas se evaluan en codigo y se muestran junto al analisis de IA","Unitaria de reglas",Media,42
STL-P4-006,Fase 4,P3,Audit Assistant,UI,Audit Room,"UI que reconstruye el linaje de cada afirmacion (humano/IA/recuperado/calculado), aprobaciones y versiones.","stella_interactions; audit_logs; corridas inmutables","components/; app/app/projects/","STL-P1-009;STL-P4-003;STL-P4-004",Medio,Medio,"Dado un reporte, un revisor ve el linaje completo de cada afirmacion","Componente; integracion",Alta,43
STL-P4-007,Fase 4,P3,Audit Assistant,Documentation,Habilitar audit_assistant tras eval,"Procedimiento para activar STELLA_AUDIT_ASSISTANT_ENABLED tras eval verde y con el Audit Room disponible.","config.ts:22","docs/; configuracion de entorno","STL-P0-004;STL-P4-006",Medio,Bajo,"audit_assistant encendido en preview con eval verde","Recorrido manual",Baja,44
STL-P4-008,Fase 4,P2,Context builder,Technical,Refactor de orquestacion y N+1,"Resolver las fuentes de proxy en una query y unificar la orquestacion de las cuatro acciones.","build-advisor-context.ts:199-207","lib/stella/context/; app/actions/stella/","STL-P1-002",Bajo,Bajo,"Las fuentes se resuelven sin N+1; existe un orquestador comun","Unitaria",Media,45
STL-P5-001,Fase 5,P3,Portfolio Intelligence,Technical,Context builder multi-proyecto org-scoped,"Constructor de contexto que agrega proyectos de UNA organizacion, con aislamiento estricto.","context builders single-project","lib/stella/context/","STL-P1-002",Alto,Alto,"El contexto agrega proyectos de una sola organizacion; nunca cruza organizaciones","Integracion de aislamiento",Alta,46
STL-P5-002,Fase 5,P3,Portfolio Intelligence,Functional,Rol de analisis de portafolio,"Rol que resume outcomes recurrentes, riesgos, proxies y resultados por territorio a nivel de organizacion.","lib/portfolios/analytics.ts (determinista)","app/actions/stella/; lib/stella/prompts/","STL-P5-001;STL-P2-006",Medio,Medio,"Stella resume patrones a traves de los proyectos de una organizacion","Integracion; eval",Alta,47
STL-P5-003,Fase 5,P3,Portfolio Intelligence,UI,Insights de portafolio,"UI de insights multi-proyecto (recurrencias, riesgos, proxies, territorio).","-","components/; app/app/portfolios/","STL-P5-002",Bajo,Bajo,"El usuario ve insights agregados de su portafolio","Componente",Media,48
STL-P5-004,Fase 5,P3,Portfolio Intelligence,Test,Pruebas de aislamiento de portafolio,"Verificar que el analisis de portafolio nunca cruza organizaciones.","-","tests/","STL-P5-002",Alto,Alto,"Un test confirma que org B no aparece en el analisis de org A","Integracion de aislamiento",Media,49
