"ID","Fase","Módulo","Tarea","Descripción","Prioridad","Estado actual","Complejidad","Dependencias","Estimación","Perfil responsable","Criterios de aceptación","Pruebas requeridas","Riesgo","Paralelizable","Archivos o áreas afectadas"
"F1-04","Fase 1","Reportes","Prellenar las secciones del reporte con los datos del pipeline","Las 12 secciones nacen con contenido vacío. El usuario que ya cargó grupos de interés, resultados, indicadores, evidencia, proxies y filtros debe volver a redactarlo todo a mano.","P1","No implementado","Alta","F1-02","3 d","Full-stack senior + Producto","Al crear un borrador, las secciones derivables (contexto, grupos de interés, resultados, evidencia, metodología de proxies, filtros, resultados del cálculo) se prellenan desde los datos reales; el contenido es editable; se distingue visualmente lo generado de lo editado por una persona","Pruebas unitarias por generador de sección; prueba de integración de creación de borrador; revisión metodológica del texto","Medio: el texto generado debe ser metodológicamente correcto y no exagerar resultados","Sí","lib/reports/; lib/pipeline/sroi-results.ts"
"F1-05","Fase 1","Reportes","Corregir los títulos de sección en el PDF exportado","sroi-results.ts línea 398 usa type.replace('_',' ') sin flag global y title-case, produciendo títulos en inglés y el malformado 'Theory Of_change'. El PDF usa ese título de base de datos mientras la vista de impresión usa SECTION_META en español; las dos vistas ya divergieron pese al comentario que dice que no deben hacerlo.","P1","Roto","Baja","Ninguna","0.5 d","Full-stack","El PDF muestra los títulos en español de SECTION_META; se corrige el generador de títulos; se migran los títulos de los reportes existentes; una prueba impide la divergencia futura entre PDF e impresión","Prueba unitaria del generador; prueba de instantánea del PDF; comparación PDF contra impresión","Bajo","Sí","lib/pipeline/sroi-results.ts; lib/reports/pdf/ReportPdfDocument.tsx; app/(public)/verify/[hash]/pdf/route.ts"
"F1-06","Fase 1","Reportes","Corregir el anexo de estándares vacío en el PDF público","public-verify.ts línea 60 llama a listOutcomeMappingsForProject con .catch(() => []). Esa función exige sesión, que un visitante público no tiene, por lo que el anexo de estándares ODS/IRIS+ del PDF público sale siempre vacío en silencio.","P1","Roto","Baja","Ninguna","1 d","Full-stack","Existe una variante sin sesión de la consulta de mapeos para el contexto público; el anexo de estándares aparece en el PDF público; se elimina el catch que oculta errores y se registra cualquier fallo real","Prueba unitaria del servicio público; prueba de integración de generación de PDF público","Bajo","Sí","lib/reports/public-verify.ts; lib/taxonomies/service.ts"
"F1-07","Fase 1","Cálculo","Guiar la atribución por financiador y advertir cuando el desglose saldrá vacío","Verificado: la opción 'Incluir desglose financiero por financiador' produce una sección con 0.00x y 100 por ciento sin atribuir salvo que el usuario configure aparte la atribución por resultado, algo que no se le indica en ningún momento.","P2","Parcial","Media","Ninguna","1.5 d","Full-stack + Producto","La casilla de desglose advierte si no existe atribución configurada; el paso de atribución se señala en el pipeline; el reporte no ofrece una sección que saldrá necesariamente vacía","Prueba unitaria de la advertencia; recorrido manual con y sin atribución","Bajo. Conflicto de archivo con F3-12 (ambas tocan calculation/page.tsx): si ambas están planificadas, ejecutar F3-12 primero. No es dependencia funcional","Sí","app/app/projects/[projectId]/pipeline/calculation/; app/app/projects/[projectId]/report/"
"F1-08","Fase 1","Multitenancy","Permitir que un usuario pertenezca a varias organizaciones","El índice único user_single_active_membership impone un usuario igual a una organización, y acceptInvitation lanza error si ya existe pertenencia. Un consultor o financiador que trabaje con varias organizaciones no puede ser soportado.","P2","No implementado","Alta","F0-04","3 d","Full-stack senior","Un usuario puede pertenecer a varias organizaciones; existe un selector de organización activa; el contexto de sesión resuelve la organización activa de forma explícita; las pruebas de aislamiento siguen verdes","Migración probada sobre base poblada; suite completa de integración y RLS; pruebas E2E de cambio de organización","Alto: cambia el modelo de datos y toca requireOrganizationAccess, del que depende toda la autorización","No: toca la base de la autorización","db/schema.ts; db/migrations/; lib/auth/session.ts; lib/invitations/service.ts; components/layout/"
"F2-01","Fase 2","Seguridad","Establecer una fuente única de verdad para las políticas RLS","Existen dos definiciones divergentes: db/policies/001 con helpers SECURITY DEFINER en el esquema public y db/migrations/0031 con los mismos helpers en private. El README instruye ejecutar 001 manualmente, lo que sobrescribe las políticas endurecidas. Demostrado: tras ejecutar 001, anon obtiene EXECUTE sobre public.current_user_is_super_admin().","P1","Roto","Alta","F0-04","2 d","DevOps + Full-stack","Existe una sola definición de RLS versionada como migración; db/policies queda retirado o marcado como histórico; los helpers duplicados en public se eliminan de la base; una prueba automatizada verifica que anon no tiene EXECUTE sobre ninguna función de public; el README ya no instruye pasos manuales","Prueba de integración que consulte has_function_privilege; suite RLS completa; bootstrap sobre base limpia","Alto: si producción tiene la variante antigua activa, la reconciliación debe planificarse con ventana y rollback","No: depende de F0-04","db/policies/; db/migrations/; README.md"
"F2-02","Fase 2","Base de datos","Hacer las migraciones idempotentes y verificables en cualquier orden","Demostrado: re-ejecutar 0033_public_api_grants.sql revoca EXECUTE sobre los helpers de Storage y deja inutilizada toda la evidencia; 5 de 28 pruebas de integración fallan con 'permission denied for function can_write_evidence_object'. Un reset, una restauración o un despliegue idempotente rompen el producto en silencio. Priorizada como P0 pese a estar en Fase 2: el escenario que la dispara es exactamente una restauración de backup, es decir, el peor momento posible para un fallo silencioso. Es gate obligatorio antes de que exista cualquier entorno con datos reales, por lo que entra en el Escenario A.","P0","Roto","Alta","F0-04","2 d","DevOps","Aplicar el conjunto completo de migraciones dos veces seguidas deja el sistema funcional; existe una prueba en CI que hace bootstrap limpio, aplica todo dos veces y ejecuta la suite de integración; las dependencias de orden quedan explícitas","Prueba de bootstrap doble en CI; test:integration completo","Alto","No: bloquea a F2-01","db/migrations/0033_public_api_grants.sql; db/migrations/0039; supabase/migrations/; .github/workflows/"
"F2-03","Fase 2","Seguridad","Unificar el manejo de fallos de autorización","Verificado con un usuario de otra organización: /app/projects/{id} devuelve 200, /pipeline/calculation devuelve 500, /report/{id} devuelve 404. No hubo fuga de datos, pero los 500 provienen de throw sin capturar, contaminan Sentry y el diferencial de códigos permite inferir existencia de recursos ajenos.","P2","Parcial","Media","F3-01","1.5 d","Full-stack","Todo fallo de autorización produce 404 (recurso inexistente para quien pregunta) o 403 según política definida; ningún fallo de autorización genera un 500; existe un error tipado de autorización en la capa de servicios","Prueba de integración de acceso cruzado sobre todas las rutas de proyecto; suite unitaria","Bajo","Sí","lib/pipeline/; lib/projects/; app/app/projects/"
"F2-04","Fase 2","Seguridad","Hacer obligatorio el rate limiting distribuido y fail-closed","proxy.ts sólo aplica límite si existen KV_REST_API_URL y KV_REST_API_TOKEN, y si faltan desactiva todo el rate limiting de la API sin ninguna advertencia. lib/security/rate-limit.ts es en memoria y por tanto inefectivo en Vercel serverless.","P2","Parcial","Media","Ninguna","1.5 d","DevOps + Full-stack","En producción, la ausencia de credenciales de Upstash impide el arranque o genera una alerta crítica; el limitador de login y reseteo usa el almacén distribuido; se documenta el comportamiento fail-closed","Prueba unitaria del limitador; prueba de integración con y sin credenciales; verificación manual de 429","Medio: fail-closed puede provocar una caída si Upstash no está disponible; requiere alerta","Sí","proxy.ts; lib/security/rate-limit.ts; app/(public)/login/actions.ts"
"F2-05","Fase 2","Seguridad","Proteger el endpoint público de captura de leads","/api/marketing/lead acepta POST no autenticado y escribe PII (email) en la base sin CAPTCHA, sin límite propio y sin deduplicación, dependiendo enteramente del rate limiting global que puede estar desactivado.","P2","Parcial","Media","F2-04","1 d","Full-stack","El endpoint exige verificación anti-bot; aplica límite por IP independiente del global; deduplica por email en una ventana temporal; el formulario recoge consentimiento explícito de tratamiento de datos","Prueba unitaria de validación; prueba de integración del límite; verificación manual","Bajo","Sí","app/api/marketing/lead/route.ts; components/marketing/DemoRequestForm.tsx"
"F2-06","Fase 2","Seguridad","Aplicar límite de tasa y caché al PDF público de verificación","/verify/[hash]/pdf es público, force-dynamic y ejecuta renderToBuffer de @react-pdf/renderer (intensivo en CPU), pero queda fuera del matcher del rate limiter, que sólo cubre /api/*. Vector de agotamiento de CPU y de costo.","P2","Parcial","Media","F2-04","1 d","DevOps + Full-stack","La ruta tiene límite por IP; el PDF de un reporte bloqueado se genera una vez y se cachea con invalidación al revocar; se mide el tiempo de generación","Prueba de carga puntual sobre la ruta; prueba de integración de caché e invalidación","Medio: la caché debe invalidarse correctamente al revocar (F1-03)","Sí","proxy.ts; app/(public)/verify/[hash]/pdf/route.ts"
"F2-07","Fase 2","Seguridad","Validar archivos por contenido real y añadir análisis antivirus","evidence.ts valida el mimeType declarado por el cliente contra una lista blanca, sin inspeccionar los bytes mágicos, y no existe análisis antivirus. Mitigado por bucket privado y RLS de Storage, pero insuficiente para producción.","P2","Parcial","Media","F1-01","2 d","Full-stack + DevOps","El tipo se determina por bytes mágicos y debe coincidir con el declarado; los archivos pasan por análisis antivirus antes de quedar disponibles; un archivo rechazado no deja fila huérfana ni objeto en Storage","Pruebas unitarias con archivos de tipo falsificado; prueba de integración de subida y rechazo","Medio: añade una dependencia externa de antivirus","Sí","lib/pipeline/evidence.ts"
"F2-08","Fase 2","Seguridad","Añadir control de rol y auditoría a la sugerencia de proxy","/api/proxies/[id]/suggest permite a cualquier miembro activo, incluido el rol viewer, cambiar el estado de un proxy de suggested a pending_review, sin comprobación de rol y sin registro en audit_logs.","P3","Parcial","Baja","Ninguna","0.5 d","Full-stack","La transición exige rol analyst o superior; queda registrada en audit_logs; un viewer recibe 403","Prueba unitaria de permisos; prueba de integración por rol","Bajo","Sí","app/api/proxies/[id]/suggest/route.ts"
"F2-09","Fase 2","Seguridad","Escapar comodines en la búsqueda de proxies","La búsqueda construye el patrón ilike con la entrada del usuario sin escapar % ni _, permitiendo patrones controlados por el usuario y degradación de rendimiento. No hay inyección SQL porque Drizzle parametriza.","P3","Parcial","Baja","Ninguna","0.25 d","Full-stack","Los caracteres % y _ de la entrada se escapan; se limita la longitud de la consulta; existe índice de texto adecuado","Prueba unitaria con entradas con comodines","Bajo","Sí","app/api/proxies/search/route.ts"
"F2-10","Fase 2","Privacidad","Implementar el flujo de borrado de usuario (derecho de supresión)","Las columnas users.deleted_at y deleted_by existen desde la migración 0038 (nombrada gdpr), pero ninguna línea de código las lee ni las escribe. getCurrentUser nunca filtra por deletedAt, de modo que un usuario marcado como borrado conservaría acceso completo.","P1","Diseñado no conectado","Media","Ninguna","2 d","Full-stack senior","Existe una acción de supresión que anonimiza los datos personales y marca deleted_at; getCurrentUser rechaza usuarios suprimidos; se conserva la trazabilidad de auditoría sin PII; el proceso queda documentado en la política de privacidad","Prueba unitaria de la anonimización; prueba de integración de acceso denegado tras la supresión","Medio: hay que equilibrar supresión con la inmutabilidad de audit_logs","Sí","lib/auth/session.ts; lib/admin/; db/schema.ts; app/(public)/privacidad/"
"F2-11","Fase 2","Seguridad","Endurecer la política de contraseñas y exigir verificación de email","La longitud mínima es de 6 caracteres sin requisitos de complejidad, tanto en la acción de servidor como en la configuración de Supabase. La verificación de email está desactivada en la configuración local y su estado en producción no es verificable desde el repositorio.","P1","Parcial","Media","Ninguna","1.5 d","Full-stack + DevOps","Mínimo de 12 caracteres con requisitos de complejidad; comprobación contra listas de contraseñas filtradas; verificación de email obligatoria antes de acceder a la aplicación; el estado de producción queda documentado","Pruebas unitarias de validación; recorrido manual de registro y verificación","Medio: exigir verificación afecta a los usuarios existentes y necesita migración","Sí","app/(public)/login/actions.ts; supabase/config.toml; documentación de operación"
"F2-12","Fase 2","Facturación","Corregir la idempotencia del webhook de Stripe","La comprobación de idempotencia hace un SELECT sobre audit_logs.reason, columna sin índice (escaneo completo de tabla), y es un check-then-act sin constraint único, por lo que dos entregas simultáneas del mismo evento pueden procesarse dos veces.","P2","Parcial","Baja","Ninguna","0.5 d","Full-stack","Existe una tabla o constraint único dedicada a eventos de Stripe procesados; el segundo intento del mismo event id falla de forma determinista; se añade índice si se mantiene audit_logs","Prueba unitaria de idempotencia; prueba de integración con entregas concurrentes","Bajo","Sí","app/api/webhooks/stripe/route.ts; db/schema.ts; db/migrations/"
"F2-13","Fase 2","Onboarding","Mover la compuerta de onboarding al servidor","OnboardingCheck implementa la compuerta en cliente con useEffect y router.push, de modo que el Server Component ya renderizó y envió los datos antes de la redirección, y con JavaScript lento o desactivado no hay redirección alguna.","P2","Parcial","Baja","F0-02;F0-03","0.75 d","Full-stack","La compuerta se aplica en el layout del servidor con redirect(); no hay parpadeo de contenido; el comportamiento se mantiene sin JavaScript","Prueba unitaria del layout; verificación manual con JavaScript desactivado","Bajo","Sí","app/app/layout.tsx; components/auth/OnboardingCheck.tsx"
"F2-14","Fase 2","Arquitectura","Documentar y blindar la decisión de que la aplicación omite RLS","db/client.ts conecta con DATABASE_URL usando el rol propietario, por lo que todo el tráfico de la aplicación omite RLS y el aislamiento entre organizaciones descansa íntegramente en comprobaciones escritas a mano en la capa de servicios. Esta decisión no está documentada en ninguna parte y el README sigue presentando RLS como la protección principal.","P2","No implementado","Media","F2-01","1 d","Full-stack senior","Existe un ADR versionado en docs/ que explica la decisión, sus consecuencias y sus mitigaciones; existe una prueba de integración por cada servicio que consulta datos de proyecto, que verifica que un usuario de otra organización obtiene cero filas; existe una regla de ESLint que falla el build si un archivo bajo app/**/*.action.ts importa @/db/client de forma directa","Suite de integración de aislamiento por servicio; ejecución de la regla de ESLint sobre una violación deliberada","Medio: la cobertura completa de servicios exige inventariarlos todos","Sí","docs/; db/client.ts; README.md"
"F3-01","Fase 3","Experiencia de usuario","Introducir un contrato tipado de error en las acciones de servidor","Verificado: pulsar 'Bloquear reporte' sin revisión aprobada lanza un error no capturado y sustituye toda la pantalla del editor por el boundary global en inglés, ocultando la razón real. El patrón se repite en prácticamente todas las acciones de servidor, que lanzan en lugar de devolver un resultado.","P2","Roto","Alta","Ninguna","4 d","Full-stack senior","Las acciones devuelven un resultado discriminado de éxito o error con código y mensaje en español; los formularios usan useActionState y muestran el error en contexto sin perder los datos introducidos; ningún error de negocio alcanza el boundary global","Pruebas unitarias por acción migrada; pruebas de componente de los formularios; recorrido manual de caminos de error","Medio: superficie amplia (unas 40 acciones); se migra por rutas empezando por el camino dorado","No: bloquea a F3-04 y condiciona la Fase 4","app/**/*.action.ts; app/**/actions.ts; app/actions/; formularios de app/app/"
"F3-02","Fase 3","Experiencia de usuario","Traducir y marcar los boundaries de error y añadir un 404 propio","app/error.tsx tiene los textos codificados en inglés ('Something went wrong', 'Try again', 'Back to dashboard') y no existe ningún not-found.tsx, por lo que /verify con hash inválido y todo enlace roto muestran el 404 por defecto de Next.js, en inglés y sin marca.","P2","Roto","Baja","Ninguna","1 d","Frontend","Todos los textos de error y de 404 están en español y con la identidad de Uellix; existe not-found.tsx en la raíz y en el área pública; los boundaries ofrecen una acción de recuperación útil","Pruebas de componente; verificación manual de rutas inválidas","Bajo","Sí","app/error.tsx; app/global-error.tsx; app/not-found.tsx; components/states/"
"F3-03","Fase 3","Experiencia de usuario","Añadir estados de carga a todas las rutas","No existe ningún loading.tsx en el repositorio. Todas las páginas son Server Components asíncronos que consultan la base de datos, de modo que cada navegación es una espera en blanco sin ninguna señal de progreso.","P2","No implementado","Media","Ninguna","2 d","Frontend","Cada segmento de ruta tiene loading.tsx con un esqueleto que refleja la estructura real de la página; ninguna navegación deja la pantalla en blanco más de 200 ms sin señal","Verificación manual con red limitada; captura de cada estado de carga","Bajo","Sí","app/app/**/loading.tsx; components/states/LoadingState.tsx"
"F3-04","Fase 3","Experiencia de usuario","Dar retroalimentación de resultado en todas las mutaciones","El sistema de toasts existe en hooks/use-toast.ts pero se usa en sólo 2 archivos de todo el proyecto. La inmensa mayoría de los guardados no confirman nada, por lo que el usuario no sabe si su acción tuvo efecto.","P2","Parcial","Media","F3-01","2 d","Frontend","Toda mutación confirma éxito o error mediante toast; los toasts son accesibles con aria-live; los mensajes están en español y describen qué ocurrió","Pruebas de componente de los formularios principales; recorrido manual del camino dorado","Bajo","No: depende de F3-01","hooks/use-toast.ts; formularios de app/app/"
"F3-05","Fase 3","Navegación","Corregir el enlace roto de la barra lateral","La barra lateral incluye un enlace a /app/organization, que no existe en la tabla de rutas del build y produce un 404.","P2","Roto","Baja","Ninguna","0.25 d","Frontend","No existe ningún enlace hacia una ruta inexistente; se añade una prueba o verificación que compare los enlaces con las rutas del build","Prueba automatizada de enlaces; verificación manual de la navegación","Bajo","Sí","components/layout/Sidebar.tsx; components/layout/TopBar.tsx"
"F3-06","Fase 3","Navegación","Crear un layout propio para las páginas de autenticación","Verificado: /login se renderiza dentro del layout de marketing y muestra dos juegos de anclas de navegación (#producto, #metodologia, #faq y otras) que no existen en esa página y no llevan a ninguna parte.","P2","Roto","Baja","Ninguna","1 d","Frontend","Las páginas de login, registro, recuperación y aceptación de invitación usan un layout propio, sobrio y sin anclas rotas; conservan un enlace de vuelta a la landing","Verificación manual de las cuatro páginas; prueba de enlaces","Bajo","Sí","app/(public)/layout.tsx; app/(public)/login/; app/(public)/forgot-password/; app/(public)/reset-password/"
"F3-07","Fase 3","Experiencia de usuario","Añadir metadata por página en el área de aplicación","Verificado en 8 páginas: el título del documento es siempre 'Uellix | Ledger Cívico de Impacto Social', el de la landing de marketing, lo que impide distinguir pestañas y degrada el historial del navegador.","P3","No implementado","Baja","Ninguna","0.5 d","Frontend","Cada página de /app y /admin exporta su propia metadata con título descriptivo; las páginas de aplicación llevan noindex","Verificación manual de títulos; revisión del robots","Bajo","Sí","app/app/**/page.tsx; app/admin/**/page.tsx"
"F3-08","Fase 3","Reportes","Formatear las cifras de la página pública de verificación","Verificado: la página pública muestra el ratio como 3.770550:1, el valor crudo de 6 decimales de la base de datos, mientras todas las pantallas internas muestran 3.77:1. Es el artefacto más visible externamente.","P3","Roto","Baja","Ninguna","0.25 d","Frontend","Todas las cifras usan el mismo formateador que el resto de la aplicación; existe una utilidad compartida de formato de ratio y moneda","Prueba unitaria del formateador; verificación manual","Bajo","Sí","app/(public)/verify/[hash]/page.tsx; lib/utils.ts"
"F3-09","Fase 3","Cálculo","Hacer legible la página de detalle de corrida","Verificado: la tabla de líneas de cálculo muestra el UUID crudo de la asignación en lugar del nombre del resultado, y la página vuelca el snapshot JSON completo a la pantalla. Es una vista pensada para desarrolladores, no para el revisor metodológico que debe usarla.","P2","Parcial","Media","Ninguna","1.5 d","Frontend","La tabla muestra el nombre del resultado y del proxy; el snapshot JSON queda en un bloque colapsable claramente etiquetado como material técnico; la vista es legible para un auditor no técnico","Prueba de componente; revisión con un perfil metodológico","Bajo","Sí","app/app/projects/[projectId]/pipeline/calculation/runs/[runId]/page.tsx"
"F3-10","Fase 3","Administración","Unificar el lenguaje visual del panel de administración","/admin usa un lenguaje visual completamente distinto al de la aplicación (slate-900 oscuro, Tailwind crudo, sin tokens de marca ni componentes shadcn) y contiene traducciones desafortunadas como 'arrendatarios' por inquilinos.","P3","Parcial","Media","Ninguna","3 d","Frontend","El panel usa los mismos tokens de marca y componentes que la aplicación; la terminología en español se revisa por completo; la experiencia es coherente al pasar de /app a /admin","Pruebas de componente; revisión visual","Bajo","Sí","app/admin/"
"F3-11","Fase 3","Accesibilidad","Ejecutar una auditoría de accesibilidad WCAG 2.1 AA","Existen buenas bases (aria-live en 14 archivos, aria-label en navegación, foco visible consistente, sin desbordamiento horizontal a 375 px) pero hay 2 advertencias de jsx-a11y/alt-text sin resolver y no se ha hecho una revisión sistemática.","P2","Parcial","Media","F3-02;F3-03","2 d","Frontend","Cero advertencias de jsx-a11y; navegación completa por teclado en el camino dorado; contraste conforme a AA; verificado con un lector de pantalla","Auditoría automatizada en CI; recorrido manual con teclado y lector de pantalla","Bajo","Sí","components/; app/"
"F3-12","Fase 3","Deuda técnica","Descomponer los componentes de página monolíticos","calculation/page.tsx tiene 1126 líneas y mezcla inversión, FX, atribución, insumos, filtros, sensibilidad, tres paneles de Stella y resultados. proxies/page.tsx tiene 813 y evidence/page.tsx 712. Son imposibles de probar por partes.","P3","Parcial","Alta","F3-01","3 d","Full-stack","Ningún componente de página supera las 300 líneas; cada sección funcional es un componente con pruebas propias; no hay cambio de comportamiento observable","Pruebas de componente por sección extraída; recorrido manual de regresión completo","Medio: refactorización amplia sobre el camino crítico del producto; exige cobertura previa","No: depende de F3-01","app/app/projects/[projectId]/pipeline/calculation/page.tsx; proxies/page.tsx; evidence/page.tsx"
"F4-01","Fase 4","Facturación","Implementar página de precios y creación de sesión de checkout","No existe ninguna creación de sesión de checkout en el código. createStripePortalSession lanza 'No active subscription found. Please contact sales to upgrade.' cuando no hay stripeCustomerId, y nada en el producto puede generar un evento checkout.session.completed. El webhook está construido pero es inalcanzable.","P1","Diseñado no conectado","Alta","F4-02;F4-03","3 d","Full-stack senior","Existe una página pública de precios; un administrador de organización inicia checkout desde la aplicación; el webhook recibe checkout.session.completed y activa la suscripción; el ciclo completo funciona en modo de prueba de Stripe sin intervención manual","Pruebas unitarias del mapeo de precios; prueba de integración del webhook; recorrido E2E en modo de prueba","Alto: depende de decisiones de negocio y de una cuenta de Stripe operativa","No: ruta crítica comercial","lib/stripe/; app/app/organization/billing/; app/(public)/precios/; app/api/webhooks/stripe/"
