ID,Stage,Priority,Capability,Type,Title,Description,CurrentEvidence,FilesAffected,Dependencies,DecisionRequired,SecurityImpact,DataImpact,AcceptanceCriteria,TestsRequired,EstimatedComplexity,RecommendedOrder,Status
STL-A1-011,Etapa A1,P0,AI security,Test,Suite adversarial estructural (10 payloads canonicos),"Casos sinteticos: ignorar instrucciones, falsa instruccion de sistema, pedir revelar el contexto, pedir modificar el calculo, pedir aprobar un proxy, texto-instruccion en un titulo, contenido que rompe JSON, contenido extremadamente largo, caracteres de control, intento de cruzar organizaciones. Verifican estructura/minimizacion/delimitacion/esquemas/ausencia de campos prohibidos -nunca llaman al modelo real-.",No existe hoy ninguna suite adversarial,tests/stella-adversarial.test.ts,STL-A1-007;STL-A1-009;STL-A1-010,No,Alto,Bajo,Los 10 casos pasan localmente sin ninguna llamada de red; cubren sanitizacion + guardarrail + envoltorio,La propia suite,Media,11,Done
STL-A1-012,Etapa A1,P0,Prompt evaluation,Test,Esqueleto del arnes de evaluacion,Casos versionados + runner + rubrica + resultados JSON/Markdown + comparacion entre corridas + gate STELLA_EVAL_REAL_MODEL + presupuesto maximo. No usa la base de datos en ninguna ruta. Probado con un mock caller; nunca ejecutado contra Gemini real en esta sesion.,No existe ningun arnes de evaluacion hoy,tests/eval/,STL-A1-007,No,Medio,Bajo,"Sin STELLA_EVAL_REAL_MODEL=true el runner termina sin intentar ninguna llamada; con la variable y un mock caller, produce JSON+Markdown y compara contra la corrida anterior si existe",Unitaria del runner con mock caller,Alta,12,Done
STL-A1-013,Etapa A1,P0,Audit logs,Database,Migracion aditiva: eliminar DEFAULT obsoleto de model_used,"DROP DEFAULT sobre model_used (el valor por defecto referenciaba un modelo retirado por Google); las 4 acciones ya siempre pasan el modelo real explicitamente, asi que el DEFAULT era muerto y potencialmente enganoso.",db/migrations/0012_stella_interactions.sql:10; config.ts:10-11,db/migrations/; db/schema.ts,None,No,Bajo,Bajo,drizzle-kit check sin drift; la columna sigue NOT NULL; ya no tiene DEFAULT,drizzle-kit check,Baja,13,Done
STL-A1-014,Etapa A1,P0,Audit logs,Documentation,Correccion documental: mecanismo de insercion y grant contradictorio,"Corregir db/policies/002_stella_interactions_rls.sql: (a) los inserts usan DATABASE_URL/postgres, no un cliente 'service-role' en el sentido de la API de Supabase; (b) documentar que 0033 concede UPDATE/DELETE de tabla a authenticated y que el caracter append-only depende solo de la ausencia de politica RLS.",db/policies/002_stella_interactions_rls.sql:17-19; 0033_public_api_grants.sql:50 (hallazgo nuevo de esta sesion),db/policies/002_stella_interactions_rls.sql,STL-A1-001,No,Bajo,Bajo,El comentario del archivo refleja el mecanismo real; el hallazgo del grant contradictorio queda documentado,Revision documental,Baja,14,Done
STL-A2-001,Etapa A2,P1,AI security,Decision,DR-001 Politica de PII en el contexto enviado,"Decidir si la deteccion de PII bloquea el envio o solo se senala en el manifiesto. DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-001,N/A,None,DR-001,Alto,Alto,Decision documentada del propietario del producto,N/A,N/A,30,Done
STL-A2-002,Etapa A2,P1,AI security,Decision,DR-002 Datos de menores de edad,"Confirmar la prohibicion de datos identificables de menores en el contexto enviado a Stella. DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-002,N/A,None,DR-002,Alto,Alto,Decision documentada,N/A,N/A,31,Done
STL-A2-003,Etapa A2,P1,AI security,Decision,DR-003 Datos de salud,"Definir el umbral de agregacion minimo aceptable para datos de salud. DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-003,N/A,None,DR-003,Alto,Alto,Decision documentada,N/A,N/A,32,Done
STL-A2-004,Etapa A2,P1,Audit logs,Decision,DR-004 Politica de retencion,"Definir retencion por categoria de dato (metadatos de auditoria vs contenido narrativo generado). DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-004,N/A,None,DR-004,Medio,Alto,Decision documentada,N/A,N/A,33,Done
STL-A2-005,Etapa A2,P1,Human approval,Decision,DR-005 Consentimiento por organizacion,"Decidir si la cuota basta como consentimiento o si hace falta un registro explicito adicional. DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-005,N/A,None,DR-005,Medio,Medio,"Decision documentada; si aplica, disenar el registro de consentimiento",N/A,N/A,34,Done
STL-A2-006,Etapa A2,P2,Audit logs,Decision,DR-007 Acceso a stella_interactions por rol interno,"Decidir si viewer debe poder leer stella_interactions o si se restringe a analyst+. DECISION RECIBIDA (2026-07-25): propietario aprobo la recomendacion via STELLA_A2_OWNER_DECISION_FORM.md, con condiciones (Stella sigue apagada, sin produccion hasta A3, sin llamadas reales a Gemini). Implementacion tecnica: ver filas STL-A2-0[7-9]/1[0-9].",STELLA_DECISION_REGISTER.md#DR-007,N/A,None,DR-007,Bajo,Medio,Decision documentada,N/A,N/A,35,Done
STL-A3-001,Etapa A3,P0,AI security,External review,DR-008 DPA con Google / condiciones del proveedor,"Revision legal externa del DPA de Gemini API, uso de contenido para reentrenamiento, subprocesadores.",STELLA_DECISION_REGISTER.md#DR-008,N/A,STL-A2-001,DR-008,Alto,Alto,DPA revisado y aprobado por asesoria legal; NO se declara completado por Claude Code,N/A,N/A,36,External review
STL-A3-002,Etapa A3,P1,AI security,External review,DR-009 Region de procesamiento,Determinar si clientes con requisitos de residencia de datos exigen fijar una region de procesamiento.,STELLA_DECISION_REGISTER.md#DR-009,N/A,STL-A3-001,DR-009,Medio,Alto,Decision legal/producto documentada,N/A,N/A,37,External review
STL-A3-003,Etapa A3,P1,AI security,External review,Politica de privacidad y bases contractuales,"Actualizar la politica de privacidad publica para reflejar el uso de un proveedor de IA, una vez resueltas DR-008/DR-009.",app/(public)/privacidad/,app/(public)/privacidad/; app/(public)/privacy/,STL-A3-001;STL-A3-002,Politica de privacidad,Medio,Alto,Politica revisada por asesoria legal; NO se declara completada por Claude Code,N/A,N/A,38,External review
STL-B-001,Etapa B,P1,Guide,Functional,Prompts de Advisor por paso,"Reemplazar el prompt generico por prompts especificos de cada uno de los 8 pasos, usando el arnes de evaluacion de A1.7/STELLA_EVAL_STRATEGY.md como gate.",advisor-system.ts:7-39,lib/stella/prompts/advisor-system.ts,STL-A1-012,No,Bajo,Bajo,Cada paso tiene su prompt; una corrida del arnes muestra mejora vs el generico,Unitaria + corrida del arnes,Media,39,Pending
STL-B-002,Etapa B,P1,AI security,Technical,Adopcion del envoltorio de datos no confiables en Advisor/Validator/Reviewer,"Retro-adaptar buildAdvisorUserMessage/buildValidatorUserMessage/buildReviewerUserMessage para usar wrapUntrustedData de A1.9, preservando exactamente los mismos datos ya seleccionados hoy (sin ampliar el contexto enviado). SUPERSEDIDO: implementado en Etapa A1.5 (STL-A15-001/002/003), no en Etapa B -- ver STELLA_STAGE_A15_CLOSURE_REPORT.md.",STELLA_REVISED_MASTER_PLAN.md#4 (justificacion de por que no se hizo en A1),lib/stella/prompts/advisor-system.ts; validator-system.ts; reviewer-system.ts,STL-A1-009,No,Alto,Bajo,Los tests existentes de estos 3 builders siguen pasando; el envoltorio queda verificablemente aplicado,Unitaria por builder + suite adversarial ampliada,Media,40,Done
STL-B-003,Etapa B,P2,AI security,Technical,Adopcion del envoltorio en Composer (coordinada),"Retro-adaptar buildComposerUserMessage; requiere actualizar composer-system.test.ts en coordinacion con quien mantiene sus expectativas de formato (funder breakdown). SUPERSEDIDO: implementado en Etapa A1.5 (STL-A15-004), no en Etapa B -- ver STELLA_STAGE_A15_CLOSURE_REPORT.md.",lib/stella/prompts/composer-system.test.ts (fija el formato actual),lib/stella/prompts/composer-system.ts; composer-system.test.ts,STL-A1-009;STL-B-002,No,Alto,Bajo,El envoltorio se aplica sin perder ninguna verificacion de contenido existente (aunque cambie de forma),composer-system.test.ts actualizado + adversarial,Media,41,Done
STL-B-004,Etapa B,P1,Report Composer,Functional,Composer anclado a cifras del motor (esquema v2),"Implementar ComposerOutputV2 (blocks estructurados) disenado en STELLA_REVISED_MASTER_PLAN.md#7, con validacion de IDs contra el proyecto y renderizado server-side de los valores.",composer-output.ts:15 (texto libre),lib/stella/schemas/composer-output-v2.ts; lib/reports/; app/actions/stella/composer.ts,STL-B-001,No,Medio,Medio,Un bloque narrative con un digito se rechaza; un runId ajeno al proyecto se descarta; el valor mostrado coincide con la corrida citada,Unitaria + integracion,Alta,42,Pending
STL-B-005,Etapa B,P1,Provenance,Database,Tabla ai_provenance_links,Crear la tabla disenada en STELLA_REVISED_MASTER_PLAN.md#6 en el momento en que exista un escritor real (reformulacion/sugerencias).,"STELLA_REVISED_MASTER_PLAN.md#6 (diseno completo, sin implementar)",db/migrations/; db/schema.ts,STL-B-006,No,Medio,Alto,"La tabla y sus invariantes (unicidad por entidad+campo, CHECK de origin_type, append-only) se aplican y se prueban",Integracion de invariantes,Media,44,Pending
STL-B-006,Etapa B,P1,Drafter,Functional,Sugerencias del pipeline (pasos 1-4),"Reformular + sugerir candidatos por paso, con aceptacion item a item, segun el spec 2026-07-24-stella-generation-copilot-design.md.",No existe hoy ningun modo reformulate/suggest,app/actions/stella/; lib/stella/prompts/; lib/stella/schemas/,STL-B-001;STL-B-002,No,Alto,Medio,El usuario ve sugerencias y acepta item a item; cada aceptacion crea una fila en ai_provenance_links,Integracion,Alta,43,Pending
STL-C-001,Etapa C,P2,Evidence Intelligence,Technical,Extraccion de texto documental,"Pipeline server-side para extraer texto de PDF/DOCX/TXT, tratando el contenido como dato no confiable.",Solo metadatos hoy (build-advisor-context.ts:156-172),lib/pipeline/evidence.ts; lib/stella/,STL-A1-009,No,Alto,Alto,De un archivo subido se extrae texto sin ejecutar instrucciones incrustadas,Unitaria + suite de inyeccion documental,Alta,45,Pending
STL-C-002,Etapa C,P2,Evidence Intelligence,Functional,Fragmentos citables + busqueda textual (sin embeddings),"Fragmentos citables ligados a outcomes, recuperados por busqueda textual de Postgres (ILIKE/tsvector). Sin pgvector ni embeddings.",Corrige la asuncion de pgvector-obligatorio de la auditoria original,lib/stella/; app/actions/,STL-C-001,No,Medio,Medio,Un fragmento citable queda ligado a un outcome; la busqueda textual encuentra el fragmento esperado,Integracion,Alta,46,Pending
STL-C-003,Etapa C,P3,Evidence Intelligence,Decision,DR-010 Necesidad real de embeddings,Revisitar con datos de volumen/patrones de consulta reales tras STL-C-002 si la busqueda textual resulta insuficiente.,STELLA_DECISION_REGISTER.md#DR-010,N/A,STL-C-002,DR-010,Bajo,Medio,"Decision tomada con datos reales, no por adelantado",N/A,N/A,47,Decision
STL-D-001,Etapa D,P2,Proxy Intelligence,Decision,DR-011 Allowlist de fuentes oficiales,Confirmar la lista de dominios permitidos para el grounding de busqueda de proxies.,STELLA_DECISION_REGISTER.md#DR-011,N/A,None,DR-011,Alto,Medio,Allowlist confirmada,N/A,N/A,48,Decision
STL-D-002,Etapa D,P2,Proxy Intelligence,Technical,Grounding de busqueda restringido a la allowlist,"Habilitar la herramienta de busqueda de Gemini solo para el rol de busqueda de proxies, restringida a DR-011.",gemini-client.ts:52-60 sin tools,lib/stella/adapter/gemini-client.ts,STL-D-001;STL-A1-012,No,Alto,Medio,Un candidato sin URL de la allowlist se rechaza,Unitaria (mock de grounding) + eval,Alta,49,Pending
STL-D-003,Etapa D,P2,Proxy Intelligence,Functional,Verificacion de que el valor aparece en la fuente citada,Reutiliza la extraccion de STL-C-001 para confirmar que el valor propuesto aparece realmente en el documento/pagina citada -nunca de la memoria del modelo-.,Independiente de embeddings del proyecto (desacoplado de RAG),lib/stella/; lib/pipeline/,STL-D-002;STL-C-001,No,Alto,Alto,Un valor que no aparece en la fuente se rechaza,Integracion,Alta,50,Pending
STL-D-004,Etapa D,P2,Proxy Intelligence,Functional,Creacion como suggested + aprobacion humana,Los candidatos entran a financial_proxies como reviewStatus=suggested; reutiliza el flujo de aprobacion existente; no usable en un calculo hasta aprobarse.,financial_proxies.reviewStatus (flujo existente),app/actions/stella/; lib/pipeline/proxies.ts,STL-D-003,No,Alto,Alto,Un proxy suggested no es usable en un calculo hasta aprobarse,Integracion,Media,51,Pending
STL-E-001,Etapa E,P2,Calculation Interpreter,Functional,Sensibilidad determinista en el contexto del Validator,"Pasar el resultado ya calculado de sroi-sensitivity.ts al contexto del validator, sin recalcular.",build-validator-context.ts sin sensibilidad,lib/stella/context/build-validator-context.ts,STL-B-001,No,Bajo,Medio,El validator recibe la sensibilidad ya calculada,Unitaria,Media,52,Pending
STL-E-002,Etapa E,P2,Versioning,Database,Version de secciones de reporte,Migracion aditiva para conservar historico de borradores por seccion.,sroi_report_sections sin version,db/migrations/; db/schema.ts,STL-B-004,No,Bajo,Medio,Una seccion conserva su historico,Integracion,Media,53,Pending
STL-E-003,Etapa E,P3,Audit Assistant,UI,Audit Room,Reconstruye el linaje de cada afirmacion (humano/IA/recuperado/calculado) usando ai_provenance_links + stella_interactions.,Bases existen; sin UI,components/; app/app/projects/,STL-B-005;STL-E-002,No,Medio,Medio,Un revisor ve el linaje completo de una afirmacion,Componente + integracion,Alta,54,Pending
STL-F-001,Etapa F,P3,Portfolio Intelligence,Technical,Context builder multi-proyecto org-scoped,"Constructor de contexto que agrega proyectos de UNA organizacion, con aislamiento estricto probado.",Context builders single-project hoy,lib/stella/context/,STL-B-001,No,Alto,Alto,El contexto nunca cruza organizaciones,Integracion de aislamiento,Alta,55,Pending
STL-F-002,Etapa F,P3,Portfolio Intelligence,Functional,Rol de analisis de portafolio,"Resume outcomes recurrentes, riesgos, proxies y resultados por territorio a nivel de organizacion.","lib/portfolios/analytics.ts (determinista, reutilizable)",app/actions/stella/; lib/stella/prompts/,STL-F-001;STL-C-002,No,Medio,Medio,Stella resume patrones de una sola organizacion,Integracion + eval,Alta,56,Pending
STL-A15-001,Etapa A1.5,P0,AI security,Technical,Integracion runtime del envoltorio en Advisor,"Construir el compositor compartido de mensaje runtime (TASK/UNTRUSTED_PROJECT_DATA/RESPONSE_REQUIREMENTS) y usarlo en buildAdvisorUserMessage, preservando exactamente los mismos campos ya enviados hoy.",lib/stella/context/build-untrusted-payload.ts existe pero no esta wired (STELLA_STAGE_A_IMPLEMENTATION_REPORT.md#7.2),lib/stella/prompts/build-runtime-message.ts; lib/stella/prompts/advisor-system.ts,STL-A1-009,No,Alto,Bajo,buildAdvisorUserMessage produce las 3 secciones; el bloque UNTRUSTED_PROJECT_DATA es JSON valido; ningun campo nuevo se envia ni se omite ninguno existente,lib/stella/prompts/__tests__/advisor-system.test.ts (nuevo),Media,15,Done
STL-A15-002,Etapa A1.5,P0,AI security,Technical,Integracion runtime del envoltorio en Validator,"Usar el compositor compartido de STL-A15-001 en buildValidatorUserMessage, preservando exactamente los mismos campos ya enviados hoy.","Mismo hallazgo que STL-A15-001, aplicado a validator-system.ts",lib/stella/prompts/validator-system.ts,STL-A15-001,No,Alto,Bajo,buildValidatorUserMessage produce las 3 secciones; JSON valido; mismos campos,lib/stella/prompts/__tests__/validator-system.test.ts (nuevo),Baja,16,Done
STL-A15-003,Etapa A1.5,P0,AI security,Technical,Integracion runtime del envoltorio en Reviewer,"Usar el compositor compartido de STL-A15-001 en buildReviewerUserMessage (3 roles: proxy_reviewer, evidence_reviewer, audit_assistant), preservando exactamente los mismos campos ya enviados hoy.","Mismo hallazgo que STL-A15-001, aplicado a reviewer-system.ts",lib/stella/prompts/reviewer-system.ts,STL-A15-001,No,Alto,Bajo,buildReviewerUserMessage produce las 3 secciones para los 3 roles; JSON valido; mismos campos,lib/stella/prompts/__tests__/reviewer-system.test.ts (nuevo),Media,17,Done
STL-A15-004,Etapa A1.5,P0,AI security,Technical,Integracion runtime del envoltorio en Composer (coordinada con composer-system.test.ts),"Usar el compositor compartido de STL-A15-001 en buildComposerUserMessage. Actualizar unicamente las aserciones de composer-system.test.ts que dependen del formato markdown antiguo (vinetas), preservando todas las que verifican presencia/orden de contenido.",lib/stella/prompts/composer-system.test.ts fija el formato antiguo exacto (STELLA_REVISED_MASTER_PLAN.md#4),lib/stella/prompts/composer-system.ts; lib/stella/prompts/composer-system.test.ts,STL-A15-001,No,Alto,Bajo,buildComposerUserMessage produce las 3 secciones; JSON valido; mismos campos (incluido funder breakdown); composer-system.test.ts pasa integramente (con las aserciones de formato actualizadas y justificadas),"lib/stella/prompts/composer-system.test.ts (actualizado, justificado)",Media,18,Done
STL-A15-005,Etapa A1.5,P0,AI security,Technical,Suite adversarial sobre los builders reales (15 payloads canonicos),"Ampliar la cobertura adversarial para ejercitar los 4 builders reales (no solo wrapUntrustedData aislado): ignorar instrucciones, SYSTEM/ASSISTANT falsos, revelar contexto, modificar SROI, aprobar proxy, cierre anticipado de delimitadores, JSON roto, campos tipo protocolo, texto largo, caracteres de control, payload en titulos/narrativa/nombres de evidencia/nombres de outcomes.","tests/stella-adversarial.test.ts (STL-A1-011) solo ejercita la utilidad aislada, no los builders reales",tests/stella-adversarial-runtime.test.ts (nuevo),STL-A15-001;STL-A15-002;STL-A15-003;STL-A15-004,No,Alto,Bajo,"Para cada builder y payload: JSON valido, contenido dentro del bloque no confiable, ausente de TASK/RESPONSE_REQUIREMENTS, sin llamadas de red",tests/stella-adversarial-runtime.test.ts,Alta,19,Done
STL-A15-006,Etapa A1.5,P0,Database,Technical,Revocacion de privilegios de tabla sobre stella_interactions,"Migracion aditiva y reversible posterior a 0042 que revoca INSERT/UPDATE/DELETE de authenticated sobre stella_interactions y deja solo SELECT, verificado contra el mecanismo real de insercion (Drizzle/DATABASE_URL, no PostgREST).",0033_public_api_grants.sql:50 otorga SELECT/INSERT/UPDATE/DELETE a authenticated; verificado con has_table_privilege que ningun flujo legitimo usa PostgREST autenticado para insertar,db/migrations/0043_stella_interactions_privilege_hardening.sql; db/migrations/meta/_journal.json,STL-A1-005,No,Alto,Ninguno,"has_table_privilege(authenticated, INSERT/UPDATE/DELETE) es false tras la migracion; SELECT sigue true; la insercion del servidor (Drizzle) sigue funcionando","tests/integration/stella-interactions-rls.test.ts (ampliada, STL-A15-007)",Baja,20,Done
STL-A15-007,Etapa A1.5,P0,Database,Technical,Pruebas de privilegios y RLS ampliadas,"Ampliar tests/integration/stella-interactions-rls.test.ts para verificar privilegios efectivos via has_table_privilege (no solo 0 filas afectadas), y que la insercion legitima del servidor sigue funcionando tras la migracion.","La prueba actual (STL-A1-001) solo demuestra 0 filas afectadas, no ausencia del privilegio a nivel de GRANT",tests/integration/stella-interactions-rls.test.ts,STL-A15-006,No,Alto,Ninguno,authenticated no tiene INSERT/UPDATE/DELETE (verificado por consulta SQL); SELECT si; RLS sigue aislando por organizacion; insercion via recordStellaInteraction sigue funcionando,tests/integration/stella-interactions-rls.test.ts,Baja,21,Done
STL-A15-008,Etapa A1.5,P1,AI security,Technical,Integridad del versionado de prompts (hash de contenido),"Anadir un hash determinista del contenido efectivo de cada system prompt, comprobado en test contra el numero de version registrado en PROMPT_TEMPLATES: si el contenido cambia sin incrementar version, el test falla.",PROMPT_TEMPLATES (registry.ts) tiene version manual sin relacion verificable con el contenido real del prompt,lib/stella/prompts/registry.ts; lib/stella/prompts/prompt-content-hash.ts (nuevo); lib/stella/prompts/registry.test.ts,STL-A1-002,No,Medio,Ninguno,Un cambio de texto en cualquiera de los 6 system prompts sin bump de version hace fallar prompt-content-hash.test.ts,lib/stella/prompts/__tests__/prompt-content-hash.test.ts (nuevo),Media,22,Done
STL-A15-009,Etapa A1.5,P1,AI security,Technical,Integridad del esquema de contexto (descriptor estructural + hash),"Anadir un descriptor canonico de la forma de StellaProjectContext (nombres de campo, subestructuras, tipos -- nunca valores) y un hash derivado, comprobado en test contra CONTEXT_SCHEMA_VERSION.",CONTEXT_SCHEMA_VERSION es una constante manual sin relacion verificable con la forma real de StellaProjectContext,lib/stella/context/schema-version.ts; lib/stella/context/context-schema-descriptor.ts (nuevo),STL-A1-003;STL-A1-004,No,Medio,Ninguno,Un cambio en la forma de StellaProjectContext sin bump de CONTEXT_SCHEMA_VERSION hace fallar context-schema-descriptor.test.ts,lib/stella/context/__tests__/context-schema-descriptor.test.ts (nuevo),Media,23,Done
STL-A15-010,Etapa A1.5,P2,Ops,Technical,Build aislado y seguro,"Ejecutar pnpm build forzando explicitamente variables locales/sinteticas (Supabase local, sin llamada real a Gemini, flags de Stella apagados) o documentar el bloqueo exacto si no puede garantizarse de forma aislada.",pnpm build no se ejecuto en Etapa A1 por riesgo de .env.local remoto (STELLA_STAGE_A_IMPLEMENTATION_REPORT.md#6),"Ninguno (verificacion de proceso, no cambio de codigo)",None,No,Bajo,Ninguno,"El build corre con variables visibles y reproducibles sin tocar ningun recurso remoto, o se documenta el bloqueo exacto sin maquillar el gate",Verificacion manual de variables cargadas + logs de red,Baja,24,Done
