# DATOS SINTÉTICOS — EXCLUSIVAMENTE PARA AUDITORÍA FUNCIONAL DE UELLIX
hogar_id,sector,personas,horas_semana_agua,gasto_mensual_cop,bienestar_pct,fecha_medicion
HOG-097,Norte,6,1.5,37456,81,2025-12-10
HOG-098,Norte,2,1.3,39009,83,2025-12-10
HOG-099,Sur,2,1.5,39561,81,2025-12-10
HOG-100,Centro,2,1.0,43186,75,2025-12-10
HOG-101,Playa,2,1.2,42066,79,2025-12-10
HOG-102,Playa,5,1.5,37485,70,2025-12-10
HOG-103,Norte,3,0.9,45314,85,2025-12-10
HOG-104,Norte,6,1.2,46088,71,2025-12-10
HOG-105,Norte,3,1.2,40370,80,2025-12-10
HOG-106,Norte,7,1.4,38416,82,2025-12-10
HOG-107,Centro,5,1.2,42048,81,2025-12-10
HOG-108,Norte,5,1.0,37024,76,2025-12-10
HOG-109,Norte,3,1.0,40962,80,2025-12-10
HOG-110,Sur,6,1.3,39362,74,2025-12-10
HOG-111,Norte,6,1.3,44162,85,2025-12-10
HOG-112,Sur,4,1.3,37880,81,2025-12-10
HOG-113,Playa,3,1.6,38327,85,2025-12-10
HOG-114,Playa,2,1.3,38185,84,2025-12-10
HOG-115,Sur,3,1.3,38269,81,2025-12-10
HOG-116,Playa,5,1.2,38543,81,2025-12-10
HOG-117,Centro,3,1.5,42273,75,2025-12-10
HOG-118,Centro,2,1.3,44759,71,2025-12-10
HOG-119,Playa,4,1.0,38298,81,2025-12-10
HOG-120,Playa,6,1.4,40221,71,2025-12-10
